"","Park","Site","land_use","area_m2","LU_prop","sum_area_m2","Scale","Period"
"49","AIZK","AIZK_10","Grassland",10332708.3828199,0.19282803097316,53585095.1268498,"catchment","1990_1995"
"50","AIZK","AIZK_10","Agriculture",746688.533536896,0.0139346311090666,53585095.1268498,"catchment","1990_1995"
"51","AIZK","AIZK_10","Shrubland",6328173.95084858,0.118095786447111,53585095.1268498,"catchment","1990_1995"
"52","AIZK","AIZK_10","Nat_forest",20350451.325812,0.379778206563546,53585095.1268498,"catchment","1990_1995"
"53","AIZK","AIZK_10","Plant_forest",14705738.2001081,0.274437101684635,53585095.1268498,"catchment","1990_1995"
"54","ARAL","ARAL_01","Water",156638.827415793,0.00225741579592452,69388558.2348563,"catchment","1990_1995"
"55","ARAL","ARAL_01","Urban",140144.667696373,0.00201970859838349,69388558.2348563,"catchment","1990_1995"
"56","ARAL","ARAL_01","Bare_soil",833154.562566553,0.0120070885425608,69388558.2348563,"catchment","1990_1995"
"57","ARAL","ARAL_01","Grassland",12437180.1127947,0.179239638770114,69388558.2348563,"catchment","1990_1995"
"58","ARAL","ARAL_01","Agriculture",1028744.51486712,0.014825852287998,69388558.2348563,"catchment","1990_1995"
"59","ARAL","ARAL_01","Shrubland",6168647.59817415,0.0889000687591088,69388558.2348563,"catchment","1990_1995"
"60","ARAL","ARAL_01","Nat_forest",32878479.7836226,0.473831430137809,69388558.2348563,"catchment","1990_1995"
"61","ARAL","ARAL_01","Plant_forest",15745568.167719,0.226918797108101,69388558.2348563,"catchment","1990_1995"
"62","IZKI","IZKI_10","Urban",16542.7346775118,0.00037952481124151,43588018.9845733,"catchment","1990_1995"
"63","IZKI","IZKI_10","Bare_soil",210135.743459232,0.00482095191189129,43588018.9845733,"catchment","1990_1995"
"64","IZKI","IZKI_10","Grassland",1078521.51211647,0.0247435313015299,43588018.9845733,"catchment","1990_1995"
"65","IZKI","IZKI_10","Agriculture",2002168.62234613,0.0459339210404294,43588018.9845733,"catchment","1990_1995"
"66","IZKI","IZKI_10","Shrubland",6108583.15499966,0.140143628852727,43588018.9845733,"catchment","1990_1995"
"67","IZKI","IZKI_10","Nat_forest",31522435.4689885,0.723190367521519,43588018.9845733,"catchment","1990_1995"
"68","IZKI","IZKI_10","Plant_forest",2649631.74798576,0.0607880745606613,43588018.9845733,"catchment","1990_1995"
"69","GORB","GORB_10","Urban",2630.19281186501,6.71484759223853e-05,39169806.547883,"catchment","1990_1995"
"70","GORB","GORB_10","Bare_soil",470830.570664796,0.0120202424305882,39169806.547883,"catchment","1990_1995"
"71","GORB","GORB_10","Grassland",3712274.66565698,0.0947738830703419,39169806.547883,"catchment","1990_1995"
"72","GORB","GORB_10","Agriculture",380443.528663724,0.00971267315805229,39169806.547883,"catchment","1990_1995"
"73","GORB","GORB_10","Shrubland",9707579.62418063,0.247833228696538,39169806.547883,"catchment","1990_1995"
